,nLastTradedPrice
0,1207.25088214
1,1207.25088214
2,1207.25145294
3,1207.25161716
4,1207.25170539
5,1207.25168506
6,1207.25168506
7,1207.25173025
8,1207.25173025
9,1207.25167818
10,1207.25157305
11,1207.25157305
12,1207.25157509
13,1207.25157509
14,1207.25157509
15,1207.25157509
16,1207.25147988
17,1207.25334891
18,1207.26058965
19,1207.26020651
20,1207.26073904
21,1207.26073904
22,1207.26097119
23,1207.26097119
24,1207.26097119
25,1207.26095204
26,1207.26095204
27,1207.26068006
28,1207.26068006
29,1207.26068006
30,1207.26294602
31,1207.26651672
32,1207.27150703
33,1207.27054849
34,1207.27019123
35,1207.27019123
36,1207.27756555
37,1207.27751939
38,1207.2743843
39,1207.27057537
40,1207.27057537
41,1207.27064712
42,1207.27059336
43,1207.27067398
44,1207.27071935
45,1207.27066151
46,1207.29338763
47,1207.29379376
48,1207.29016088
49,1207.2903339
50,1207.2886388
51,1207.2886341
52,1207.28863645
53,1207.28702664
54,1207.28702664
55,1207.28552524
56,1207.28552524
57,1207.28552524
58,1207.28547914
59,1207.2809484
60,1207.2809484
61,1207.28095072
62,1207.28132764
63,1207.28132764
64,1207.28132764
65,1207.28132764
66,1207.26937056
67,1207.26937056
68,1207.26937056
69,1207.26937056
70,1207.26937056
71,1207.28302277
72,1207.28472255
73,1207.26992005
74,1207.26992463
75,1207.26992463
76,1207.27246379
77,1207.27240464
78,1207.27240464
79,1207.27240464
80,1207.27240464
81,1207.27240464
82,1207.25748851
83,1207.25748851
84,1207.25748851
85,1207.25748851
86,1207.25748851
87,1207.25663208
88,1207.25813825
89,1207.25813825
90,1207.255422
91,1207.25542643
92,1207.25538803
93,1207.25520811
94,1207.25520811
95,1207.25502448
96,1207.25498886
97,1207.25498886
98,1207.25498886
99,1207.25489557
100,1207.25489557
101,1207.25490522
102,1207.25494058
103,1207.25494058
104,1207.25138
105,1207.27127773
106,1207.27175
107,1207.27177026
108,1207.27187935
109,1207.27187935
110,1207.27187935
111,1207.271873
112,1207.271873
113,1207.27188482
114,1207.27188482
115,1207.28599243
116,1207.28599987
117,1207.28607145
118,1207.2860387
119,1207.28610306
120,1207.28133903
121,1207.26926394
122,1207.26926394
123,1207.28303416
124,1207.27096865
125,1207.27096865
126,1207.27096865
127,1207.27155863
128,1207.28360923
129,1207.28361418
130,1207.28367986
131,1207.28367986
132,1207.28022395
133,1207.28022395
134,1207.27975259
135,1207.28398685
136,1207.28320405
137,1207.28320405
138,1207.28320405
139,1207.28012687
140,1207.28275842
141,1207.27850478
142,1207.28531205
143,1207.2878527
144,1207.2878527
145,1207.28600927
146,1207.28601393
147,1207.27002936
148,1207.27003183
149,1207.27002936
150,1207.26279982
151,1207.26279982
152,1207.26279982
153,1207.26283573
154,1207.26283808
155,1207.26284275
156,1207.26284275
157,1207.26284275
158,1207.26298013
159,1207.26298013
160,1207.26298013
161,1207.26298013
162,1207.26298013
163,1207.26298013
164,1207.2630452
165,1207.26303598
166,1207.26303598
167,1207.26303948
168,1207.26303948
169,1207.26300895
170,1207.26300895
171,1207.26283248
172,1207.26279881
173,1207.26279881
174,1207.26279881
175,1207.26286246
176,1207.26278032
177,1207.26270418
178,1207.26432279
179,1207.27049988
180,1207.27049988
181,1207.25029509
182,1207.2486289
183,1207.24834748
184,1207.24791677
185,1207.24934133
186,1207.249201
187,1207.249201
188,1207.24919763
189,1207.25189896
190,1207.25000566
191,1207.25069114
192,1207.25069114
193,1207.25332932
194,1207.25355854
195,1207.25355854
196,1207.25355854
197,1207.28588577
198,1207.28588577
199,1207.28625776
200,1207.28624844
201,1207.28609686
202,1207.28609686
203,1207.28609502
204,1207.28609502
205,1207.28610053
206,1207.28512996
207,1207.28271421
208,1207.2827049
209,1207.28281317
210,1207.28285041
211,1207.28278024
212,1207.28282358
213,1207.28274859
214,1207.28274712
215,1207.28274712
216,1207.28274712
217,1207.28274712
218,1207.28274712
219,1207.28274564
220,1207.30129742
221,1207.29895815
222,1207.29896297
223,1207.29896297
224,1207.30801305
225,1207.30803999
226,1207.30804606
227,1207.30337194
228,1207.29931871
229,1207.2993256
230,1207.2993256
231,1207.302902
232,1207.29011184
233,1207.30279328
234,1207.30279328
235,1207.30275994
236,1207.30275994
237,1207.30318492
238,1207.29057
239,1207.29057
240,1207.30281576
241,1207.30323064
242,1207.30241106
243,1207.30236238
244,1207.30236238
245,1207.30236238
246,1207.30236238
247,1207.30060026
248,1207.30081281
249,1207.30161679
250,1207.28869825
251,1207.28869825
252,1207.28871034
253,1207.28871034
254,1207.28871034
255,1207.2887886
256,1207.28878639
257,1207.28878639
258,1207.28884996
259,1207.28884996
260,1207.29585254
261,1207.29585254
262,1207.29585254
263,1207.29585018
264,1207.29587811
265,1207.29587811
266,1207.2958895
267,1207.29595477
268,1207.29600128
269,1207.31227459
270,1207.30730032
271,1207.33276279
272,1207.33243332
273,1207.33243806
274,1207.33217788
275,1207.33217311
276,1207.33204486
277,1207.33204486
278,1207.33159273
279,1207.33159273
280,1207.33162075
281,1207.3315784
282,1207.33162762
283,1207.3316299
284,1207.33157358
285,1207.33162762
286,1207.33162762
287,1207.32337404
288,1207.30834128
289,1207.30834128
290,1207.30834128
291,1207.30870379
292,1207.30834128
293,1207.32155688
294,1207.3233388
295,1207.32378
296,1207.41220487
297,1207.40068892
298,1207.39051976
299,1207.3888977
300,1207.3722006
301,1207.4368706
302,1207.42680385
303,1207.41612315
304,1207.41265286
305,1207.39928332
306,1207.39928853
307,1207.40101171
308,1207.39731851
309,1207.37469146
310,1207.38751903
311,1207.38796102
312,1207.3768095
313,1207.37582096
314,1207.36998101
315,1207.40777677
316,1207.37347325
317,1207.39757275
318,1207.39587794
319,1207.39708721
320,1207.39958814
321,1207.39958814
322,1207.39650839
323,1207.39344241
324,1207.38093039
325,1207.39640475
326,1207.39153702
327,1207.39153702
328,1207.39854547
329,1207.38472443
330,1207.3935594
331,1207.39621187
332,1207.3771582
333,1207.3768902
334,1207.37975608
335,1207.3786008
336,1207.37857607
337,1207.37635372
338,1207.37617364
339,1207.39499543
340,1207.38062373
341,1207.39721845
342,1207.38068177
343,1207.38068712
344,1207.39460419
345,1207.39460419
346,1207.39460419
347,1207.39583966
348,1207.39583966
349,1207.40049092
350,1207.4004769
351,1207.40052636
352,1207.40052636
353,1207.40049353
354,1207.39650737
355,1207.39639304
356,1207.40366952
357,1207.40157217
358,1207.40157217
359,1207.41862197
360,1207.41777776
361,1207.41777776
362,1207.44905067
363,1207.44539215
364,1207.44539215
365,1207.44533393
366,1207.44530539
367,1207.44566793
368,1207.44269831
369,1207.43975835
370,1207.43975835
371,1207.43422069
372,1207.45812321
373,1207.45812321
374,1207.44948152
375,1207.44778819
376,1207.44778903
377,1207.45089829
378,1207.460807
379,1207.46077692
380,1207.46343342
381,1207.46339717
382,1207.46339717
383,1207.45653161
384,1207.45635185
385,1207.45635185
386,1207.45614629
387,1207.44469356
388,1207.46054745
389,1207.46054745
390,1207.46054745
391,1207.46906483
392,1207.4689676
393,1207.43793865
394,1207.44064326
395,1207.44064326
396,1207.45259789
397,1207.46715131
398,1207.46715131
399,1207.46715131
400,1207.46801435
401,1207.46895156
402,1207.46211528
403,1207.46211528
404,1207.46179281
405,1207.47051865
406,1207.47110417
407,1207.47110417
408,1207.47340982
409,1207.47374907
410,1207.47594538
411,1207.46863825
412,1207.46560317
413,1207.46560317
414,1207.46617167
415,1207.45420885
416,1207.46615041
417,1207.48373691
418,1207.48372866
419,1207.47290361
420,1207.48721226
421,1207.48678084
422,1207.47286555
423,1207.49249941
424,1207.49165158
425,1207.490597
426,1207.490597
427,1207.49044326
428,1207.49026415
429,1207.49005096
430,1207.50852855
431,1207.52403545
432,1207.53505367
433,1207.53520944
434,1207.53520944
435,1207.53525475
436,1207.55450925
437,1207.58175676
438,1207.58175676
439,1207.59133479
440,1207.59775826
441,1207.59288771
442,1207.59586122
443,1207.59995335
444,1207.5999261
445,1207.60050758
446,1207.58644552
447,1207.58667665
448,1207.58620666
449,1207.60479642
450,1207.60479642
451,1207.59314232
452,1207.59326431
453,1207.5921186
454,1207.60234539
455,1207.59185432
456,1207.60831361
457,1207.59437415
458,1207.59437415
459,1207.601735
460,1207.61490869
461,1207.61868343
462,1207.61825488
463,1207.61825488
464,1207.61825488
465,1207.61668091
466,1207.57801099
467,1207.57801099
468,1207.58968334
469,1207.5922987
470,1207.59162578
471,1207.59162578
472,1207.58393563
473,1207.58393563
474,1207.58851889
475,1207.58797246
476,1207.58797246
477,1207.5921856
478,1207.59200642
479,1207.57402621
480,1207.5938338
481,1207.59412411
482,1207.59412411
483,1207.59218365
484,1207.59219207
485,1207.59219207
486,1207.59219207
487,1207.58929665
488,1207.58820075
489,1207.58989762
490,1207.58821726
491,1207.58810904
492,1207.58818039
493,1207.58287683
494,1207.58310919
495,1207.58272385
496,1207.59302253
497,1207.60360821
498,1207.58979889
499,1207.59050587
500,1207.60254694
501,1207.60263434
502,1207.59511838
503,1207.5970032
504,1207.59848889
505,1207.61644679
506,1207.61478523
507,1207.591936
508,1207.61479986
509,1207.6130442
510,1207.55608686
511,1207.55926328
512,1207.56216347
513,1207.56231168
514,1207.6078611
515,1207.58986666
516,1207.58949418
517,1207.58993557
518,1207.58759985
519,1207.59253036
520,1207.59254831
521,1207.56422258
522,1207.56412073
523,1207.57362871
524,1207.5737772
525,1207.59045533
526,1207.57541925
527,1207.58094661
528,1207.57785432
529,1207.56409925
530,1207.56409925
531,1207.55928683
532,1207.55925733
533,1207.5606516
534,1207.56063956
535,1207.55917239
536,1207.5427799
537,1207.57650789
538,1207.57650789
539,1207.56408153
540,1207.54982576
541,1207.54953202
542,1207.54953202
543,1207.54953202
544,1207.54953202
545,1207.54996537
546,1207.56132146
547,1207.56094958
548,1207.56094958
549,1207.55964679
550,1207.55964679
551,1207.56023949
552,1207.56023949
553,1207.55893891
554,1207.56227761
555,1207.56234638
556,1207.56211725
557,1207.55856395
558,1207.55856395
559,1207.52833829
560,1207.52827225
561,1207.52595258
562,1207.525772
563,1207.52407756
564,1207.52751306
565,1207.52751306
566,1207.52742617
567,1207.51996986
568,1207.52923836
569,1207.5109346
570,1207.51085923
571,1207.51085923
572,1207.50915533
573,1207.50894543
574,1207.50894543
575,1207.50585092
576,1207.50894543
577,1207.50894543
578,1207.50926291
579,1207.50529458
580,1207.5147662
581,1207.51554297
582,1207.51553544
583,1207.51523745
584,1207.52042947
585,1207.51638257
586,1207.51638257
587,1207.5167038
588,1207.51931395
589,1207.52042947
590,1207.51953037
591,1207.52487851
592,1207.52632725
593,1207.52665864
594,1207.5262773
595,1207.52626889
596,1207.52858011
597,1207.51943023
598,1207.51943023
599,1207.51941626
600,1207.5193957
601,1207.47910659
602,1207.47559781
603,1207.48834708
604,1207.49512532
605,1207.50926087
606,1207.51314394
607,1207.51531137
608,1207.51531137
609,1207.51139539
610,1207.50993146
611,1207.50993146
612,1207.51051905
613,1207.51044812
614,1207.51051198
615,1207.48508336
616,1207.50048615
617,1207.50039247
618,1207.49984324
619,1207.48788992
620,1207.48748759
621,1207.49075396
622,1207.49068723
623,1207.49059019
624,1207.49059019
625,1207.49059019
626,1207.48871242
627,1207.48789971
628,1207.48789971
629,1207.4765082
630,1207.47703807
631,1207.46189258
632,1207.48223441
633,1207.48981915
634,1207.48921922
635,1207.4879358
636,1207.48794284
637,1207.48374774
638,1207.48374259
639,1207.47511588
640,1207.47485195
641,1207.47461154
642,1207.47494141
643,1207.47494141
644,1207.47200001
645,1207.47200001
